# Parity Audit — Final Draft
**Project:** Spiflix vs Reference (cinepro-ui)
**Date:** 2026-07-09

---

## Changelog from Previous Draft

| Issue | Change | Reason |
|-------|--------|--------|
| Dual severity scales | Unified into one rubric (Critical/High/Medium/Low) | Previous had Phase 1-5 "impact" + addendum "severity" grouping — inconsistent |
| ~70/65/50% parity estimates | Replaced with count-based summary: "12 Critical, 8 High, 31 Medium, 45 Low" | Percentages had no shown methodology and implied false precision |
| Claim of exhaustive coverage | Qualified with verified-vs-inferred counts | Not all files were read line-by-line; 5 areas flagged as inferred |
| Duplicate items 43/82 | Merged into one item (source quality sorting) | Same behavioral gap referenced in Phase 3 + addendum |
| Duplicate items 62/93 | Merged into one item (request deduplication) | Same gap listed in Phase 4 + addendum |
| Items mixed by severity | Split into Tier 1 (decision-relevant) and Tier 2 (cosmetic/polish) | Reader could not distinguish blockers from trivial style notes |
| No confidence markers | Every row now tagged [Verified] or [Inferred] | Inferred claims should not carry same weight as direct observation |
| Final assessment untraceable | Blockers now cross-referenced to item numbers | Every blocker links to its row |

---

## Severity Rubric

| Level | Definition | Example |
|-------|-----------|---------|
| **Critical** | Breaks core user-facing functionality (can't play video, can't browse content) or causes data loss | Race conditions setting state on unmounted components; no ESLint means broken imports undetected |
| **High** | Degrades a primary feature (wrong audio language, lower quality video, can't translate UI) | Source sorting picks wrong quality; i18n not wired into player |
| **Medium** | Missing secondary feature, code maintainability gap, or UX annoyance | No debounce hook (multiple inline implementations); missing caching layer |
| **Low** | Cosmetic only, DX improvement, or edge case | Prettier indent width; glass-filter SVG vs CSS blur; youtube.com vs youtube-nocookie.com |

*Items marked with [Superior] indicate our project has a better implementation than the reference.*

---

# TIER 1 — Decision-Relevant (Functional Bugs, Silent Failures, Missing Core Features, Architecture Gaps)

## Critical

| # | Area | Feature | Reference | Our Implementation | Confidence | Effort |
|---|------|---------|-----------|-------------------|------------|--------|
| C1 | State | Race condition guards in async effects | Uses `mounted`/`cancelled` boolean flags in 6+ hooks/effects to prevent `setState()` after unmount | Only used in CustomSubtitles.tsx. MediaPlayer source fetch (lines 86-111) and title fetch (lines 114-118) have NO cancellation guard | [Verified] file read | 1hr |
| C2 | A11y | ARIA attributes | 62+ aria-* and role attributes via shadcn/ui components (aria-label, aria-hidden, role="group", role="alert", aria-pressed, aria-expanded) | Only 1 ARIA usage: `aria-selected:bg-muted` in SearchDialog. Player controls have zero ARIA. App largely invisible to screen readers | [Verified] file read | 20hr+ |
| C3 | Build | ESLint / code quality | Full ESLint config (v9) with typescript-eslint, react-hooks plugin, react-refresh plugin, prettier-plugin-tailwindcss | **Zero ESLint config** in the entire project. No `noUnusedLocals`, no `noUnusedParameters` in tsconfig | [Verified] file read | 2hr |

## High

| # | Area | Feature | Reference | Our Implementation | Confidence | Effort |
|---|------|---------|-----------|-------------------|------------|--------|
| H1 | Player | Audio track switching via HLS manifest | Reads `hls.audioTracks` after `MANIFEST_PARSED`; sets `hls.audioTrack` to switch; defaults to English | Reads tracks, sets English, but switching has race condition with `AUDIO_TRACKS_UPDATED` event — English auto-select fires before HLS processes the switch | [Verified] code read | 2hr |
| H2 | Player | Source quality sorting + HLS preference | `getPreferredSource()` sorts sources by quality descending (numeric parse), then prefers HLS type | Picks `data.sources[0]` — whatever the API returns first. May select lower-quality or non-HLS stream | [Verified] file read | 1hr |
| H3 | Player | Source fetch error recovery | `useMediaSources` fires once with no retry | Single fetch attempt, no retry, `.catch()` silently swallows errors | [Verified] file read | 1hr |
